get(0, 'diaryfile')

ans =

corrida14.txt

main(50, 0.9, 0.4)
148: Viorest: 8.4205e-12, aptitud: 1000.00000000000000000000, vector: 0.48447837379514747000  0.09225928398505567300  0.48447837378672698000  0.17445368562449892000-37.39179889093509200000
149: Viorest: 7.9098e-12, aptitud: 1000.00000000000000000000, vector: 0.44658308879318215000  0.17491117238212581000  0.44658308878527236000  0.21598884805197993000-31.47071308674728100000
150: Viorest: 2.9675e-12, aptitud: 1000.00000000000000000000, vector: 0.49630630080798244000  0.19603529558342758000  0.49630630080501492000  0.30065448663048017000-30.27231769093890500000
151: Viorest: 2.9675e-12, aptitud: 1000.00000000000000000000, vector: 0.49630630080798244000  0.19603529558342758000  0.49630630080501492000  0.30065448663048017000-30.27231769093890500000
152: Viorest: 2.4233e-12, aptitud: 1000.00000000000000000000, vector: 0.44846403881231067000  0.20728027542463909000  0.44846403880988733000  0.25898674175344205000-18.85562658612702300000
153: Viorest: 1.7985e-12, aptitud: 1000.00000000000000000000, vector: 0.39176954875858860000  0.09228276749874966800  0.39176954875679015000  0.25935215062444811000-37.58227235641698600000
154: Viorest: 1.7985e-12, aptitud: 1000.00000000000000000000, vector: 0.39176954875858860000  0.09228276749874966800  0.39176954875679015000  0.25935215062444811000-37.58227235641698600000
155: Viorest: 1.7985e-12, aptitud: 1000.00000000000000000000, vector: 0.39176954875858860000  0.09228276749874966800  0.39176954875679015000  0.25935215062444811000-37.58227235641698600000
156: Viorest: 4.6957e-13, aptitud: 1000.00000000000000000000, vector: 0.46736836620431971000  0.13951646671973161000  0.46736836620385014000  0.24832692057621963000-36.41835424028541000000
157: Viorest: 1.697e-13, aptitud: 1000.00000000000000000000, vector: 0.26729905809339727000 0.14272741550450135000 0.26729905809322757000 0.1977312559110711000033.92361427984471300000
158: Viorest: 9.559e-14, aptitud: 1000.00000000000000000000, vector: 0.48240172104424761000  0.17502950910882586000  0.48240172104415202000  0.34057045152990784000-28.70806159202507500000
159: Viorest: 9.559e-14, aptitud: 1000.00000000000000000000, vector: 0.48240172104424761000  0.17502950910882586000  0.48240172104415202000  0.34057045152990784000-28.70806159202507500000
160: Viorest: 9.559e-14, aptitud: 1000.00000000000000000000, vector: 0.48240172104424761000  0.17502950910882586000  0.48240172104415202000  0.34057045152990784000-28.70806159202507500000
161: Viorest: 9.559e-14, aptitud: 1000.00000000000000000000, vector: 0.48240172104424761000  0.17502950910882586000  0.48240172104415202000  0.34057045152990784000-28.70806159202507500000
162: Viorest: 6.1284e-14, aptitud: 1000.00000000000000000000, vector: 0.23111222801827122000 0.18044164318651301000 0.23111222801820994000 0.1934944853387496600034.07283274908700600000
163: Viorest: 2.1511e-14, aptitud: 1000.00000000000000000000, vector: 0.14827570704434717000 0.05194049770393054100 0.14827570704432566000 0.0639851385173880460023.23998544314010700000
164: Viorest: 1.7875e-14, aptitud: 1000.00000000000000000000, vector: 0.47225986237675516000  0.14591713627380015000  0.47225986237673728000  0.27939685996707592000-36.58396374478402200000
165: Viorest: 1.7875e-14, aptitud: 1000.00000000000000000000, vector: 0.47225986237675516000  0.14591713627380015000  0.47225986237673728000  0.27939685996707592000-36.58396374478402200000
166: Viorest: 1.7875e-14, aptitud: 1000.00000000000000000000, vector: 0.47225986237675516000  0.14591713627380015000  0.47225986237673728000  0.27939685996707592000-36.58396374478402200000
167: Viorest: 1.7875e-14, aptitud: 1000.00000000000000000000, vector: 0.47225986237675516000  0.14591713627380015000  0.47225986237673728000  0.27939685996707592000-36.58396374478402200000
168: Viorest: 5.4401e-15, aptitud: 1000.00000000000000000000, vector: 0.360571954801288340000.205632361411565660000.360571954801282900000.274682295649211980005.07049824842566640000
