main(50, 0.9, 0.4)
70: Viorest: 1.6239e-07, aptitud: 1000.00000000000000000000, vector: 0.15670125968898821000 0.11606281485705885000 0.18463286615939350000 0.1846330285447876900022.11633234711646900000
71: Viorest: 1.6239e-07, aptitud: 1000.00000000000000000000, vector: 0.15670125968898821000 0.11606281485705885000 0.18463286615939350000 0.1846330285447876900022.11633234711646900000
72: Viorest: 1.6239e-07, aptitud: 1000.00000000000000000000, vector: 0.15670125968898821000 0.11606281485705885000 0.18463286615939350000 0.1846330285447876900022.11633234711646900000
73: Viorest: 1.6239e-07, aptitud: 1000.00000000000000000000, vector: 0.15670125968898821000 0.11606281485705885000 0.18463286615939350000 0.1846330285447876900022.11633234711646900000
74: Viorest: 1.6239e-07, aptitud: 1000.00000000000000000000, vector: 0.15670125968898821000 0.11606281485705885000 0.18463286615939350000 0.1846330285447876900022.11633234711646900000
75: Viorest: 1.6239e-07, aptitud: 1000.00000000000000000000, vector: 0.15670125968898821000 0.11606281485705885000 0.18463286615939350000 0.1846330285447876900022.11633234711646900000
76: Viorest: 1.9294e-08, aptitud: 1000.00000000000000000000, vector: 0.31725526745553206000 0.23808677260839714000 0.47461045733820134000 0.4746104766324164600033.00380690318223700000
77: Viorest: 1.9294e-08, aptitud: 1000.00000000000000000000, vector: 0.31725526745553206000 0.23808677260839714000 0.47461045733820134000 0.4746104766324164600033.00380690318223700000
78: Viorest: 1.9294e-08, aptitud: 1000.00000000000000000000, vector: 0.31725526745553206000 0.23808677260839714000 0.47461045733820134000 0.4746104766324164600033.00380690318223700000
79: Viorest: 1.5068e-08, aptitud: 1000.00000000000000000000, vector: 0.31772541407930316000 0.22824281107142425000 0.41516529722199907000 0.4151653122898080200031.60363556305509300000
80: Viorest: 1.5068e-08, aptitud: 1000.00000000000000000000, vector: 0.31772541407930316000 0.22824281107142425000 0.41516529722199907000 0.4151653122898080200031.60363556305509300000
81: Viorest: 1.5068e-08, aptitud: 1000.00000000000000000000, vector: 0.31772541407930316000 0.22824281107142425000 0.41516529722199907000 0.4151653122898080200031.60363556305509300000
82: Viorest: 1.5068e-08, aptitud: 1000.00000000000000000000, vector: 0.31772541407930316000 0.22824281107142425000 0.41516529722199907000 0.4151653122898080200031.60363556305509300000
83: Viorest: 1.5068e-08, aptitud: 1000.00000000000000000000, vector: 0.31772541407930316000 0.22824281107142425000 0.41516529722199907000 0.4151653122898080200031.60363556305509300000
84: Viorest: 1.5068e-08, aptitud: 1000.00000000000000000000, vector: 0.31772541407930316000 0.22824281107142425000 0.41516529722199907000 0.4151653122898080200031.60363556305509300000
85: Viorest: 1.5068e-08, aptitud: 1000.00000000000000000000, vector: 0.31772541407930316000 0.22824281107142425000 0.41516529722199907000 0.4151653122898080200031.60363556305509300000
86: Viorest: 5.4613e-09, aptitud: 1000.00000000000000000000, vector: 0.40370488858053144000 0.30739410535306100000 0.47548952426809332000 0.4754895297293538800040.15737515284999400000
87: Viorest: 2.4532e-09, aptitud: 1000.00000000000000000000, vector: 0.15325112055237941000 0.07389474297597163600 0.22081881954781873000 0.2208188220010009500012.81597145854724800000
88: Viorest: 1.4977e-09, aptitud: 1000.00000000000000000000, vector: 0.24627162252884816000 0.20060325059458822000 0.34088543554959383000 0.34088543704727747000-0.66121137614035774000
89: Viorest: 1.4977e-09, aptitud: 1000.00000000000000000000, vector: 0.24627162252884816000 0.20060325059458822000 0.34088543554959383000 0.34088543704727747000-0.66121137614035774000
90: Viorest: 1.4977e-09, aptitud: 1000.00000000000000000000, vector: 0.24627162252884816000 0.20060325059458822000 0.34088543554959383000 0.34088543704727747000-0.66121137614035774000
91: Viorest: 3.2098e-10, aptitud: 1000.00000000000000000000, vector: 0.34622119352114028000 0.28088896750683584000 0.41737747919885593000 0.4173774795198393900010.38164753696108600000
92: Viorest: 3.2098e-10, aptitud: 1000.00000000000000000000, vector: 0.34622119352114028000 0.28088896750683584000 0.41737747919885593000 0.4173774795198393900010.38164753696108600000
93: Viorest: 3.2098e-10, aptitud: 1000.00000000000000000000, vector: 0.34622119352114028000 0.28088896750683584000 0.41737747919885593000 0.4173774795198393900010.38164753696108600000
94: Viorest: 3.2098e-10, aptitud: 1000.00000000000000000000, vector: 0.34622119352114028000 0.28088896750683584000 0.41737747919885593000 0.4173774795198393900010.38164753696108600000
95: Viorest: 4.6296e-11, aptitud: 1000.00000000000000000000, vector: 0.19541934652696871000 0.16755470783709225000 0.21831328913332101000 0.2183132891796173400032.82694845090109200000
96: Viorest: 4.6296e-11, aptitud: 1000.00000000000000000000, vector: 0.19541934652696871000 0.16755470783709225000 0.21831328913332101000 0.2183132891796173400032.82694845090109200000
97: Viorest: 4.6296e-11, aptitud: 1000.00000000000000000000, vector: 0.19541934652696871000 0.16755470783709225000 0.21831328913332101000 0.2183132891796173400032.82694845090109200000
98: Viorest: 4.6296e-11, aptitud: 1000.00000000000000000000, vector: 0.19541934652696871000 0.16755470783709225000 0.21831328913332101000 0.2183132891796173400032.82694845090109200000
99: Viorest: 4.6296e-11, aptitud: 1000.00000000000000000000, vector: 0.19541934652696871000 0.16755470783709225000 0.21831328913332101000 0.2183132891796173400032.82694845090109200000
100: Viorest: 2.1554e-11, aptitud: 1000.00000000000000000000, vector: 0.23777059869645267000 0.13179416274240235000 0.30243954909623449000 0.3024395491177887500026.45834544936090200000
101: Viorest: 3.9627e-12, aptitud: 1000.00000000000000000000, vector: 0.26430728052308555000 0.22669132851297510000 0.26575388798292338000 0.2657538879868860400013.44882457055908300000
102: Viorest: 3.9627e-12, aptitud: 1000.00000000000000000000, vector: 0.26430728052308555000 0.22669132851297510000 0.26575388798292338000 0.2657538879868860400013.44882457055908300000
103: Viorest: 3.9627e-12, aptitud: 1000.00000000000000000000, vector: 0.26430728052308555000 0.22669132851297510000 0.26575388798292338000 0.2657538879868860400013.44882457055908300000
