main(50, 0.9, 0.4)
118: Viorest: 1.2611e-05, aptitud: 1000.00000000000000000000, vector: 0.35400899814023001000  0.25575740714257245000  0.44766140757506667000  0.44767401822891312000-27.59628751147683800000 , tt: 120.0438
119: Viorest: 1.2611e-05, aptitud: 1000.00000000000000000000, vector: 0.35400899814023001000  0.25575740714257245000  0.44766140757506667000  0.44767401822891312000-27.59628751147683800000 , tt: 121.3716
120: Viorest: 1.1216e-05, aptitud: 1000.00000000000000000000, vector: 0.24783142328829216000 0.12008372506212120000 0.49277844228683948000 0.4927896583975138200042.38066082689037700000 , tt: 122.8075
121: Viorest: 1.1216e-05, aptitud: 1000.00000000000000000000, vector: 0.24783142328829216000 0.12008372506212120000 0.49277844228683948000 0.4927896583975138200042.38066082689037700000 , tt: 124.2458
122: Viorest: 1.1216e-05, aptitud: 1000.00000000000000000000, vector: 0.24783142328829216000 0.12008372506212120000 0.49277844228683948000 0.4927896583975138200042.38066082689037700000 , tt: 125.7844
123: Viorest: 1.1216e-05, aptitud: 1000.00000000000000000000, vector: 0.24783142328829216000 0.12008372506212120000 0.49277844228683948000 0.4927896583975138200042.38066082689037700000 , tt: 126.8946
124: Viorest: 1.1216e-05, aptitud: 1000.00000000000000000000, vector: 0.24783142328829216000 0.12008372506212120000 0.49277844228683948000 0.4927896583975138200042.38066082689037700000 , tt: 128.2892
125: Viorest: 2.9955e-06, aptitud: 1000.00000000000000000000, vector: 0.36547706913492500000 0.20045989888643378000 0.36650647115816054000 0.3665094666744132000010.60913733731764100000 , tt: 129.6208
126: Viorest: 2.9955e-06, aptitud: 1000.00000000000000000000, vector: 0.36547706913492500000 0.20045989888643378000 0.36650647115816054000 0.3665094666744132000010.60913733731764100000 , tt: 131.0503
127: Viorest: 2.9955e-06, aptitud: 1000.00000000000000000000, vector: 0.36547706913492500000 0.20045989888643378000 0.36650647115816054000 0.3665094666744132000010.60913733731764100000 , tt: 132.4283
128: Viorest: 2.9955e-06, aptitud: 1000.00000000000000000000, vector: 0.36547706913492500000 0.20045989888643378000 0.36650647115816054000 0.3665094666744132000010.60913733731764100000 , tt: 133.5911
129: Viorest: 2.9955e-06, aptitud: 1000.00000000000000000000, vector: 0.36547706913492500000 0.20045989888643378000 0.36650647115816054000 0.3665094666744132000010.60913733731764100000 , tt: 134.9846
130: Viorest: 2.9955e-06, aptitud: 1000.00000000000000000000, vector: 0.36547706913492500000 0.20045989888643378000 0.36650647115816054000 0.3665094666744132000010.60913733731764100000 , tt: 136.4107
131: Viorest: 2.9955e-06, aptitud: 1000.00000000000000000000, vector: 0.36547706913492500000 0.20045989888643378000 0.36650647115816054000 0.3665094666744132000010.60913733731764100000 , tt: 137.5864
132: Viorest: 2.9955e-06, aptitud: 1000.00000000000000000000, vector: 0.36547706913492500000 0.20045989888643378000 0.36650647115816054000 0.3665094666744132000010.60913733731764100000 , tt: 138.5747
133: Viorest: 2.9955e-06, aptitud: 1000.00000000000000000000, vector: 0.36547706913492500000 0.20045989888643378000 0.36650647115816054000 0.3665094666744132000010.60913733731764100000 , tt: 139.7998
134: Viorest: 2.9955e-06, aptitud: 1000.00000000000000000000, vector: 0.36547706913492500000 0.20045989888643378000 0.36650647115816054000 0.3665094666744132000010.60913733731764100000 , tt: 141.1978
135: Viorest: 2.9955e-06, aptitud: 1000.00000000000000000000, vector: 0.36547706913492500000 0.20045989888643378000 0.36650647115816054000 0.3665094666744132000010.60913733731764100000 , tt: 142.2308
136: Viorest: 1.261e-07, aptitud: 1000.00000000000000000000, vector: 0.32596801176838613000 0.20583069486484645000 0.34707793467895076000 0.3470780607749061100023.19224576355594900000 , tt: 143.213
