main(40, .6, .5)
114: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
115: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
116: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
117: Viorest: 8.6763e-05, aptitud: 0.00000000000000000000, vector: 0.30618840421402949000  0.11306279593417555000  0.37021686244900043000  0.37030362503149528000-13.41069941440864400000
118: Viorest: 1.7176e-05, aptitud: 0.00000000000000000000, vector: 0.32767548895051879000 0.17522112162003273000 0.38412660043967473000 0.38414377678875344000-1.82849498824143450000
119: Viorest: 1.7176e-05, aptitud: 0.00000000000000000000, vector: 0.32767548895051879000 0.17522112162003273000 0.38412660043967473000 0.38414377678875344000-1.82849498824143450000
120: Viorest: 1.7176e-05, aptitud: 0.00000000000000000000, vector: 0.32767548895051879000 0.17522112162003273000 0.38412660043967473000 0.38414377678875344000-1.82849498824143450000
121: Viorest: 1.7176e-05, aptitud: 0.00000000000000000000, vector: 0.32767548895051879000 0.17522112162003273000 0.38412660043967473000 0.38414377678875344000-1.82849498824143450000
122: Viorest: 1.7176e-05, aptitud: 0.00000000000000000000, vector: 0.32767548895051879000 0.17522112162003273000 0.38412660043967473000 0.38414377678875344000-1.82849498824143450000
123: Viorest: 1.7176e-05, aptitud: 0.00000000000000000000, vector: 0.32767548895051879000 0.17522112162003273000 0.38412660043967473000 0.38414377678875344000-1.82849498824143450000
124: Viorest: 1.7176e-05, aptitud: 0.00000000000000000000, vector: 0.32767548895051879000 0.17522112162003273000 0.38412660043967473000 0.38414377678875344000-1.82849498824143450000
125: Viorest: 1.7176e-05, aptitud: 0.00000000000000000000, vector: 0.32767548895051879000 0.17522112162003273000 0.38412660043967473000 0.38414377678875344000-1.82849498824143450000
126: Viorest: 1.377e-05, aptitud: 0.00000000000000000000, vector: 0.31410014494092459000 0.14717078953378773000 0.39014097191146058000 0.3901547416856869800025.04204728731908200000
127: Viorest: 1.377e-05, aptitud: 0.00000000000000000000, vector: 0.31410014494092459000 0.14717078953378773000 0.39014097191146058000 0.3901547416856869800025.04204728731908200000
128: Viorest: 1.377e-05, aptitud: 0.00000000000000000000, vector: 0.31410014494092459000 0.14717078953378773000 0.39014097191146058000 0.3901547416856869800025.04204728731908200000
129: Viorest: 1.377e-05, aptitud: 0.00000000000000000000, vector: 0.31410014494092459000 0.14717078953378773000 0.39014097191146058000 0.3901547416856869800025.04204728731908200000
130: Viorest: 1.377e-05, aptitud: 0.00000000000000000000, vector: 0.31410014494092459000 0.14717078953378773000 0.39014097191146058000 0.3901547416856869800025.04204728731908200000
131: Viorest: 1.377e-05, aptitud: 0.00000000000000000000, vector: 0.31410014494092459000 0.14717078953378773000 0.39014097191146058000 0.3901547416856869800025.04204728731908200000
132: Viorest: 1.377e-05, aptitud: 0.00000000000000000000, vector: 0.31410014494092459000 0.14717078953378773000 0.39014097191146058000 0.3901547416856869800025.04204728731908200000
133: Viorest: 1.377e-05, aptitud: 0.00000000000000000000, vector: 0.31410014494092459000 0.14717078953378773000 0.39014097191146058000 0.3901547416856869800025.04204728731908200000
134: Viorest: 1.377e-05, aptitud: 0.00000000000000000000, vector: 0.31410014494092459000 0.14717078953378773000 0.39014097191146058000 0.3901547416856869800025.04204728731908200000
135: Viorest: 1.377e-05, aptitud: 0.00000000000000000000, vector: 0.31410014494092459000 0.14717078953378773000 0.39014097191146058000 0.3901547416856869800025.04204728731908200000
136: Viorest: 1.377e-05, aptitud: 0.00000000000000000000, vector: 0.31410014494092459000 0.14717078953378773000 0.39014097191146058000 0.3901547416856869800025.04204728731908200000
137: Viorest: 1.377e-05, aptitud: 0.00000000000000000000, vector: 0.31410014494092459000 0.14717078953378773000 0.39014097191146058000 0.3901547416856869800025.04204728731908200000
138: Viorest: 1.377e-05, aptitud: 0.00000000000000000000, vector: 0.31410014494092459000 0.14717078953378773000 0.39014097191146058000 0.3901547416856869800025.04204728731908200000
139: Viorest: 1.377e-05, aptitud: 0.00000000000000000000, vector: 0.31410014494092459000 0.14717078953378773000 0.39014097191146058000 0.3901547416856869800025.04204728731908200000
140: Viorest: 1.377e-05, aptitud: 0.00000000000000000000, vector: 0.31410014494092459000 0.14717078953378773000 0.39014097191146058000 0.3901547416856869800025.04204728731908200000
141: Viorest: 1.377e-05, aptitud: 0.00000000000000000000, vector: 0.31410014494092459000 0.14717078953378773000 0.39014097191146058000 0.3901547416856869800025.04204728731908200000
142: Viorest: 1.377e-05, aptitud: 0.00000000000000000000, vector: 0.31410014494092459000 0.14717078953378773000 0.39014097191146058000 0.3901547416856869800025.04204728731908200000
143: Viorest: 1.377e-05, aptitud: 0.00000000000000000000, vector: 0.31410014494092459000 0.14717078953378773000 0.39014097191146058000 0.3901547416856869800025.04204728731908200000
144: Viorest: 1.377e-05, aptitud: 0.00000000000000000000, vector: 0.31410014494092459000 0.14717078953378773000 0.39014097191146058000 0.3901547416856869800025.04204728731908200000
145: Viorest: 9.7952e-06, aptitud: 0.00000000000000000000, vector: 0.25116144794891088000  0.09320015186967584000  0.25115165272160273000  0.12602437394382338000-35.05349054750689000000
146: Viorest: 9.7952e-06, aptitud: 0.00000000000000000000, vector: 0.25116144794891088000  0.09320015186967584000  0.25115165272160273000  0.12602437394382338000-35.05349054750689000000
147: Viorest: 9.7952e-06, aptitud: 0.00000000000000000000, vector: 0.25116144794891088000  0.09320015186967584000  0.25115165272160273000  0.12602437394382338000-35.05349054750689000000
