
main(40, .6, .5)
115: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
116: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
117: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
118: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
119: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
120: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
121: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
122: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
123: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
124: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
125: Viorest: 6.8409e-05, aptitud: 0.00000000000000000000, vector: 0.36861396597196561000 0.14675825799777353000 0.41756247820309361000 0.1956383611983590900010.67994100467274900000
126: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
127: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
128: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
129: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
130: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
131: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
132: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
133: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
134: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
135: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
136: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
137: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
138: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
139: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
140: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
141: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
142: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
143: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
144: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
145: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
146: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
147: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
148: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
149: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
150: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
151: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
152: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
153: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
154: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
155: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
156: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
157: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
158: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
159: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
160: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
161: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
162: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
163: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
164: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
165: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
166: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
167: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
168: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
169: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
170: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
171: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
172: Viorest: 9.4178e-06, aptitud: 0.00000000000000000000, vector: 0.442544371039569340000.163875630700628520000.442534953278479690000.375198836254715730000.63951185611981032000
