140: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 119.9431
141: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 120.8432
142: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 121.8198
143: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 122.916
144: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 124.0385
145: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 125.0384
146: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 126.0713
147: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 126.915
148: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 127.8856
149: Viorest: 5.103e-05, aptitud: 0.00000000000000000000, vector: 0.35591622218119973000 0.15081094436508080000 0.47660087443413168000 0.2714445661608134200014.78705599592156300000 , tt: 128.9303
