91: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 78.602
92: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 79.4212
93: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 80.3791
94: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 81.3014
95: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 82.115
96: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 83.0143
97: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 83.9373
98: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 84.9684
99: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 85.8721
100: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 86.7985
101: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 87.6743
102: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 88.7218
103: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 89.7573
104: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 90.7814
105: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 91.6936
106: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 92.7834
107: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 93.7245
108: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 94.7109
109: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 95.7187
110: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 96.4607
111: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 97.2915
112: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 98.2241
113: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 99.1304
114: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 100.0519
115: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 100.9564
116: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 101.9004
117: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 102.825
118: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 103.8608
119: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 104.712
120: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 105.5641
121: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 106.4407
122: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 107.3171
123: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 108.3458
124: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 109.33
125: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 110.116
126: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 110.9614
127: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 111.6871
128: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 112.6714
129: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 113.898
130: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 114.8431
131: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 115.896
132: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 116.8633
133: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 117.6386
134: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 118.358
135: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 119.1949
136: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 120.1501
137: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 121.0736
138: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 122.174
139: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 123.1817
140: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 124.072
141: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 124.8725
142: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 125.6158
143: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 126.8269
144: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 127.7437
145: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 128.6715
146: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 129.5466
147: Viorest: 3.5315e-06, aptitud: 0.00000000000000000000, vector: 0.23320387799031070000 0.21678547290736799000 0.46724536507053960000 0.4508234284698385800040.20359103269508000000 , tt: 130.4574
