137: Viorest: 3.5446e-06, aptitud: 0.00000000000000000000, vector: 0.41693196552902689000  0.08015315907807865600  0.41692842088658100000  0.40596956779195614000-20.43073206565877700000 , tt: 117.1397
138: Viorest: 3.5446e-06, aptitud: 0.00000000000000000000, vector: 0.41693196552902689000  0.08015315907807865600  0.41692842088658100000  0.40596956779195614000-20.43073206565877700000 , tt: 118.1701
139: Viorest: 3.5446e-06, aptitud: 0.00000000000000000000, vector: 0.41693196552902689000  0.08015315907807865600  0.41692842088658100000  0.40596956779195614000-20.43073206565877700000 , tt: 118.9798
140: Viorest: 3.5446e-06, aptitud: 0.00000000000000000000, vector: 0.41693196552902689000  0.08015315907807865600  0.41692842088658100000  0.40596956779195614000-20.43073206565877700000 , tt: 119.9611
141: Viorest: 3.5446e-06, aptitud: 0.00000000000000000000, vector: 0.41693196552902689000  0.08015315907807865600  0.41692842088658100000  0.40596956779195614000-20.43073206565877700000 , tt: 120.8956
142: Viorest: 3.5446e-06, aptitud: 0.00000000000000000000, vector: 0.41693196552902689000  0.08015315907807865600  0.41692842088658100000  0.40596956779195614000-20.43073206565877700000 , tt: 121.8498
143: Viorest: 3.5446e-06, aptitud: 0.00000000000000000000, vector: 0.41693196552902689000  0.08015315907807865600  0.41692842088658100000  0.40596956779195614000-20.43073206565877700000 , tt: 122.8961
144: Viorest: 3.5446e-06, aptitud: 0.00000000000000000000, vector: 0.41693196552902689000  0.08015315907807865600  0.41692842088658100000  0.40596956779195614000-20.43073206565877700000 , tt: 123.9023
145: Viorest: 3.5446e-06, aptitud: 0.00000000000000000000, vector: 0.41693196552902689000  0.08015315907807865600  0.41692842088658100000  0.40596956779195614000-20.43073206565877700000 , tt: 124.8126
146: Viorest: 3.5446e-06, aptitud: 0.00000000000000000000, vector: 0.41693196552902689000  0.08015315907807865600  0.41692842088658100000  0.40596956779195614000-20.43073206565877700000 , tt: 125.838
147: Viorest: 3.5446e-06, aptitud: 0.00000000000000000000, vector: 0.41693196552902689000  0.08015315907807865600  0.41692842088658100000  0.40596956779195614000-20.43073206565877700000 , tt: 126.9297
148: Viorest: 3.5446e-06, aptitud: 0.00000000000000000000, vector: 0.41693196552902689000  0.08015315907807865600  0.41692842088658100000  0.40596956779195614000-20.43073206565877700000 , tt: 127.9009
149: Viorest: 3.5446e-06, aptitud: 0.00000000000000000000, vector: 0.41693196552902689000  0.08015315907807865600  0.41692842088658100000  0.40596956779195614000-20.43073206565877700000 , tt: 128.9458
