104: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 92.2768
105: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 93.1277
106: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 94.254
107: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 95.0555
108: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 95.8283
109: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 96.8349
110: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 97.6695
111: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 98.5008
112: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 99.381
113: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 100.2082
114: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 101.008
115: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 101.8856
116: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 102.9111
117: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 103.9356
118: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 105.091
119: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 106.1645
120: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 107.1563
121: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 108.0358
122: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 108.8311
123: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 109.5988
124: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 110.4133
125: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 111.2595
126: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 112.3281
127: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 113.3922
128: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 114.3569
129: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 115.2418
130: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 116.2141
131: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 117.0361
132: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 118.0496
133: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 119.0409
134: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 119.8911
135: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 120.7332
136: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 121.6299
137: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 122.408
138: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 123.2264
139: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 124.1959
140: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 125.0817
141: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 125.9279
142: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 127.0235
143: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 127.9458
144: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 128.7568
145: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 129.665
146: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 130.6568
147: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 131.6429
148: Viorest: 1.4399e-06, aptitud: 0.00000000000000000000, vector: 0.42733409177123893000 0.15640225568898855000 0.49799442279209194000 0.4979958627094304100021.98318969776526900000 , tt: 132.4546
