85: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 51.1953
86: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 51.7123
87: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 52.4622
88: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 53.0548
89: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 53.5308
90: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 54.0567
91: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 54.6828
92: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 55.233
93: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 55.9421
94: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 56.9155
95: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 57.4672
96: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 58.0461
97: Viorest: 6.0357e-05, aptitud: 0.00000000000000000000, vector: 0.20772668742364556000  0.06408156343631192500  0.47592387473524767000  0.47598423125830980000-26.21622076543410900000 , tt: 58.6332
98: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 59.1666
99: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 59.6611
100: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 60.2324
101: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 61.0253
102: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 61.7074
103: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 62.2118
104: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 62.8062
105: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 63.2532
106: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 63.8118
107: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 64.567
108: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 65.3862
109: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 66.0737
110: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 66.6694
111: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 67.1812
112: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 67.863
113: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 68.4823
114: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 69.2266
115: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 69.8984
116: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 70.3974
117: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 70.9416
118: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 71.6598
119: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 72.2621
120: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 73.1585
121: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 73.91
122: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 74.4079
123: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 75.0026
124: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 75.4975
125: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 76.0474
126: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 76.7331
127: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 77.4142
128: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 78.0351
129: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 78.5651
130: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 79.1802
131: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 79.8496
132: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 80.4234
133: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 81.4692
134: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 82.2377
135: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 82.9513
136: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 83.4896
137: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 84.0431
138: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 84.6246
139: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 85.5605
140: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 86.1587
141: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 86.8985
142: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 87.6222
143: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 88.316
144: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 89.211
145: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 89.7935
146: Viorest: 4.3295e-05, aptitud: 0.00000000000000000000, vector: 0.32640508138757413000  0.06508166022597035300  0.49245031099032943000  0.49249360614968429000-40.04509262311779600000 , tt: 90.5067
