5561: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5562: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5563: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5564: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5565: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5566: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5567: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5568: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5569: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5570: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5571: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5572: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5573: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5574: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5575: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5576: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5577: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5578: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5579: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
5580: Viorest: 0, aptitud: 1.62727591042082720000, vector: 0.45271195762877653000 0.09981813745638518100 0.45271195762877653000 0.16961720183333789000-0.15563479905327249000
