main( 50, .9, .4)
78: Viorest: 7.7512e-12, aptitud: 1000.00000000000000000000, vector: 0.491654897487703520000.385756132707687940000.491654897479952280000.481081442424413860009.97267023840296220000
79: Viorest: 7.7512e-12, aptitud: 1000.00000000000000000000, vector: 0.491654897487703520000.385756132707687940000.491654897479952280000.481081442424413860009.97267023840296220000
80: Viorest: 7.7512e-12, aptitud: 1000.00000000000000000000, vector: 0.491654897487703520000.385756132707687940000.491654897479952280000.481081442424413860009.97267023840296220000
81: Viorest: 7.7512e-12, aptitud: 1000.00000000000000000000, vector: 0.491654897487703520000.385756132707687940000.491654897479952280000.481081442424413860009.97267023840296220000
82: Viorest: 6.2351e-12, aptitud: 1000.00000000000000000000, vector: 0.49397324452743824000 0.40382105024081522000 0.49397324452120311000 0.4866308753328462100029.91819225440394400000
83: Viorest: 6.2184e-13, aptitud: 1000.00000000000000000000, vector: 0.49923048991583535000 0.47086280284879267000 0.49923048991521352000 0.4954236240290047500022.32581927325873000000
84: Viorest: 6.2184e-13, aptitud: 1000.00000000000000000000, vector: 0.49923048991583535000 0.47086280284879267000 0.49923048991521352000 0.4954236240290047500022.32581927325873000000
85: Viorest: 6.2184e-13, aptitud: 1000.00000000000000000000, vector: 0.49923048991583535000 0.47086280284879267000 0.49923048991521352000 0.4954236240290047500022.32581927325873000000
86: Viorest: 6.2184e-13, aptitud: 1000.00000000000000000000, vector: 0.49923048991583535000 0.47086280284879267000 0.49923048991521352000 0.4954236240290047500022.32581927325873000000
87: Viorest: 6.2184e-13, aptitud: 1000.00000000000000000000, vector: 0.49923048991583535000 0.47086280284879267000 0.49923048991521352000 0.4954236240290047500022.32581927325873000000
88: Viorest: 6.2184e-13, aptitud: 1000.00000000000000000000, vector: 0.49923048991583535000 0.47086280284879267000 0.49923048991521352000 0.4954236240290047500022.32581927325873000000
89: Viorest: 6.2184e-13, aptitud: 1000.00000000000000000000, vector: 0.49923048991583535000 0.47086280284879267000 0.49923048991521352000 0.4954236240290047500022.32581927325873000000
90: Viorest: 6.2184e-13, aptitud: 1000.00000000000000000000, vector: 0.49923048991583535000 0.47086280284879267000 0.49923048991521352000 0.4954236240290047500022.32581927325873000000
91: Viorest: 4.734e-13, aptitud: 1000.00000000000000000000, vector: 0.48598407437271235000 0.36585873944284342000 0.48598407437223895000 0.3929470827841252100011.83433963522099600000
92: Viorest: 4.734e-13, aptitud: 1000.00000000000000000000, vector: 0.48598407437271235000 0.36585873944284342000 0.48598407437223895000 0.3929470827841252100011.83433963522099600000
93: Viorest: 4.734e-13, aptitud: 1000.00000000000000000000, vector: 0.48598407437271235000 0.36585873944284342000 0.48598407437223895000 0.3929470827841252100011.83433963522099600000
94: Viorest: 4.6346e-13, aptitud: 1000.00000000000000000000, vector: 0.48935000378452126000 0.05903738534594360500 0.48935000378405780000 0.3821660173599211700033.25381168680725400000
95: Viorest: 4.6346e-13, aptitud: 1000.00000000000000000000, vector: 0.48935000378452126000 0.05903738534594360500 0.48935000378405780000 0.3821660173599211700033.25381168680725400000
96: Viorest: 1.5182e-13, aptitud: 1000.00000000000000000000, vector: 0.48510685954662502000 0.30778325544032337000 0.48510685954647320000 0.4073682220722117900013.95071338090892800000
97: Viorest: 8.9595e-14, aptitud: 1000.00000000000000000000, vector: 0.49635685930884815000 0.32523558662808916000 0.49635685930875856000 0.4798163197685353900038.11793036565320800000
98: Viorest: 2.8644e-14, aptitud: 1000.00000000000000000000, vector: 0.49892146529819847000 0.24029271589591633000 0.49892146529816983000 0.4364823140384621000014.08289814134686900000
99: Viorest: 2.8644e-14, aptitud: 1000.00000000000000000000, vector: 0.49892146529819847000 0.24029271589591633000 0.49892146529816983000 0.4364823140384621000014.08289814134686900000
100: Viorest: 2.8644e-14, aptitud: 1000.00000000000000000000, vector: 0.49892146529819847000 0.24029271589591633000 0.49892146529816983000 0.4364823140384621000014.08289814134686900000
101: Viorest: 2.8644e-14, aptitud: 1000.00000000000000000000, vector: 0.49892146529819847000 0.24029271589591633000 0.49892146529816983000 0.4364823140384621000014.08289814134686900000
102: Viorest: 2.8644e-14, aptitud: 1000.00000000000000000000, vector: 0.49892146529819847000 0.24029271589591633000 0.49892146529816983000 0.4364823140384621000014.08289814134686900000
103: Viorest: 2.8644e-14, aptitud: 1000.00000000000000000000, vector: 0.49892146529819847000 0.24029271589591633000 0.49892146529816983000 0.4364823140384621000014.08289814134686900000
104: Viorest: 7.2164e-16, aptitud: 1000.00000000000000000000, vector: 0.493714525880164180000.345846493520249320000.493714525880163460000.442129893997775140008.67238319266933820000
105: Viorest: 7.2164e-16, aptitud: 1000.00000000000000000000, vector: 0.493714525880164180000.345846493520249320000.493714525880163460000.442129893997775140008.67238319266933820000
106: Viorest: 7.2164e-16, aptitud: 1000.00000000000000000000, vector: 0.493714525880164180000.345846493520249320000.493714525880163460000.442129893997775140008.67238319266933820000
107: Viorest: 7.2164e-16, aptitud: 1000.00000000000000000000, vector: 0.493714525880164180000.345846493520249320000.493714525880163460000.442129893997775140008.67238319266933820000
108: Viorest: 7.2164e-16, aptitud: 1000.00000000000000000000, vector: 0.493714525880164180000.345846493520249320000.493714525880163460000.442129893997775140008.67238319266933820000
109: Viorest: 7.2164e-16, aptitud: 1000.00000000000000000000, vector: 0.493714525880164180000.345846493520249320000.493714525880163460000.442129893997775140008.67238319266933820000
110: Viorest: 6.1062e-16, aptitud: 1000.00000000000000000000, vector: 0.48971236200282736000 0.20748088984377264000 0.48971236200282675000 0.3997312185367830600010.89191167585070600000
111: Viorest: 6.1062e-16, aptitud: 1000.00000000000000000000, vector: 0.48971236200282736000 0.20748088984377264000 0.48971236200282675000 0.3997312185367830600010.89191167585070600000
112: Viorest: 6.1062e-16, aptitud: 1000.00000000000000000000, vector: 0.48971236200282736000 0.20748088984377264000 0.48971236200282675000 0.3997312185367830600010.89191167585070600000
113: Viorest: 6.1062e-16, aptitud: 1000.00000000000000000000, vector: 0.48971236200282736000 0.20748088984377264000 0.48971236200282675000 0.3997312185367830600010.89191167585070600000
114: Viorest: 6.1062e-16, aptitud: 1000.00000000000000000000, vector: 0.48971236200282736000 0.20748088984377264000 0.48971236200282675000 0.3997312185367830600010.89191167585070600000
115: Viorest: 1.6653e-16, aptitud: 1000.00000000000000000000, vector: 0.49902371380836463000 0.25882975843277944000 0.49902371380836447000 0.4736994565536975000012.89424035181468400000
116: Viorest: 1.6653e-16, aptitud: 1000.00000000000000000000, vector: 0.49902371380836463000 0.25882975843277944000 0.49902371380836447000 0.4736994565536975000012.89424035181468400000
117: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.48770756407136062000  0.08905962192659774800  0.48770756407136051000  0.27201293712043217000-27.47374844054521500000
118: Viorest: 1.1102e-16, aptitud: 1000.00000000000000000000, vector: 0.48770756407136062000  0.08905962192659774800  0.48770756407136051000  0.27201293712043217000-27.47374844054521500000
119: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.492690264462175950000.118193444166888960000.492690264462175900000.423573857474492940000.43851949845237215000
120: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49192521908553527000 0.13797222315386209000 0.49192521908553521000 0.42051350138373383000-1.48956252773799380000
121: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.49192521908553527000 0.13797222315386209000 0.49192521908553521000 0.42051350138373383000-1.48956252773799380000
122: Viorest: 5.5511e-17, aptitud: 1000.00000000000000000000, vector: 0.48387696702620631000  0.16096332963185411000  0.48387696702620625000  0.31674263251902357000-24.47643285276706800000
